page_key,doc_id,pdf_page_number,source_family_id,target_fault_classes,target_evidence_roles,max_retrieval_score
MP004:26,MP004,26,DESMI,impeller_or_wear_part_damage,cause_or_mechanism,23.656
MP004:32,MP004,32,DESMI,impeller_or_wear_part_damage,cause_or_mechanism;maintenance,23.641
MP003:893,MP003,893,ABS,cavitation,inspection;symptom;maintenance,22.8274
MP007:12,MP007,12,DESMI,dry_running_or_maintenance_induced_failure,maintenance,22.5
MP005:48,MP005,48,DESMI,cavitation,cause_or_mechanism,21.5
MP001:48,MP001,48,ABS,pump_motor_misalignment,symptom;inspection;cause_or_mechanism;maintenance,21.2332
MP003:62,MP003,62,ABS,hydraulic_blockage,inspection;symptom,21.1226
MP015:30,MP015,30,SPX_FLOW__JOHNSON_PUMP,cavitation,symptom;inspection;cause_or_mechanism;maintenance,21.0
MP001:102,MP001,102,ABS,pump_motor_misalignment,inspection;cause_or_mechanism,20.926
MP001:29,MP001,29,ABS,bearing_or_lubrication_failure,maintenance;inspection;cause_or_mechanism;symptom,20.7033
MP016:3,MP016,3,XYLEM__JABSCO,cavitation,inspection;symptom;cause_or_mechanism,20.6607
MP001:47,MP001,47,ABS,pump_motor_misalignment,inspection;symptom;maintenance;cause_or_mechanism,20.5975
MP003:608,MP003,608,ABS,hydraulic_blockage,symptom;inspection,20.5388
MP003:380,MP003,380,ABS,hydraulic_blockage,inspection;cause_or_mechanism;maintenance,20.25
MP004:28,MP004,28,DESMI,impeller_or_wear_part_damage,maintenance,19.5577
MP015:28,MP015,28,SPX_FLOW__JOHNSON_PUMP,dry_running_or_maintenance_induced_failure;cavitation,symptom;inspection;maintenance,19.5
MP003:863,MP003,863,ABS,motor_electrical_drive_failure,cause_or_mechanism;symptom;inspection,19.0332
MP016:14,MP016,14,XYLEM__JABSCO,cavitation,maintenance;symptom;cause_or_mechanism,17.3625
MP003:573,MP003,573,ABS,pipe_or_valve_integrity_failure,inspection;maintenance,16.4383
MP016:15,MP016,15,XYLEM__JABSCO,cavitation,maintenance,16.0
MP003:609,MP003,609,ABS,hydraulic_blockage,maintenance,13.5
MP003:669,MP003,669,ABS,hydraulic_blockage,cause_or_mechanism,13.1261
MP015:110,MP015,110,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,inspection,12.0
