page_key,doc_id,pdf_page_number,source_family_id,target_fault_classes,target_evidence_roles,max_retrieval_score
MP015:8,MP015,8,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;inspection;maintenance;symptom,58.5
MP015:7,MP015,7,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;inspection;maintenance;symptom,57.5
MP015:9,MP015,9,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;inspection;maintenance;symptom,57.5
MP015:10,MP015,10,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;inspection;maintenance;symptom,56.5
MP015:11,MP015,11,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;inspection;maintenance;symptom,55.5
MP015:5,MP015,5,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;inspection;maintenance;symptom,55.5
MP005:68,MP005,68,DESMI,bearing_or_lubrication_failure;mechanical_seal_failure;hydraulic_blockage;dry_running_or_maintenance_induced_failure;cavitation,symptom;inspection;maintenance;cause_or_mechanism,54.0
MP005:70,MP005,70,DESMI,bearing_or_lubrication_failure;mechanical_seal_failure;dry_running_or_maintenance_induced_failure;hydraulic_blockage;cavitation,maintenance;symptom;cause_or_mechanism;inspection,54.0
MP005:67,MP005,67,DESMI,dry_running_or_maintenance_induced_failure;mechanical_seal_failure;bearing_or_lubrication_failure;hydraulic_blockage;cavitation,symptom;cause_or_mechanism;inspection;maintenance,53.0
MP005:69,MP005,69,DESMI,mechanical_seal_failure;bearing_or_lubrication_failure;dry_running_or_maintenance_induced_failure;hydraulic_blockage;cavitation,symptom;inspection;maintenance;cause_or_mechanism,53.0
MP005:71,MP005,71,DESMI,bearing_or_lubrication_failure;mechanical_seal_failure;hydraulic_blockage;dry_running_or_maintenance_induced_failure;cavitation,maintenance;symptom;cause_or_mechanism;inspection,53.0
MP007:18,MP007,18,DESMI,hydraulic_blockage;mechanical_seal_failure;cavitation;dry_running_or_maintenance_induced_failure;bearing_or_lubrication_failure,symptom;cause_or_mechanism;maintenance;inspection,53.0
MP015:32,MP015,32,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;hydraulic_blockage;mechanical_seal_failure;air_ingress_or_loss_of_prime;dry_running_or_maintenance_induced_failure;cavitation,cause_or_mechanism;symptom;maintenance;inspection,53.0
MP005:66,MP005,66,DESMI,mechanical_seal_failure;bearing_or_lubrication_failure;hydraulic_blockage;dry_running_or_maintenance_induced_failure;cavitation,symptom;cause_or_mechanism;inspection;maintenance,52.0
MP005:72,MP005,72,DESMI,bearing_or_lubrication_failure;mechanical_seal_failure;hydraulic_blockage;dry_running_or_maintenance_induced_failure;cavitation,maintenance;inspection;symptom;cause_or_mechanism,52.0
MP007:17,MP007,17,DESMI,mechanical_seal_failure;cavitation;hydraulic_blockage;dry_running_or_maintenance_induced_failure;bearing_or_lubrication_failure,symptom;cause_or_mechanism;maintenance;inspection,52.0
MP007:19,MP007,19,DESMI,hydraulic_blockage;mechanical_seal_failure;cavitation;dry_running_or_maintenance_induced_failure,symptom;cause_or_mechanism;maintenance;inspection,52.0
MP015:31,MP015,31,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;hydraulic_blockage;mechanical_seal_failure;air_ingress_or_loss_of_prime;dry_running_or_maintenance_induced_failure;cavitation,cause_or_mechanism;symptom;maintenance;inspection,52.0
MP015:33,MP015,33,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;hydraulic_blockage;mechanical_seal_failure;air_ingress_or_loss_of_prime;cavitation;dry_running_or_maintenance_induced_failure,cause_or_mechanism;symptom;maintenance;inspection,52.0
MP005:65,MP005,65,DESMI,mechanical_seal_failure;hydraulic_blockage;bearing_or_lubrication_failure;dry_running_or_maintenance_induced_failure;cavitation;air_ingress_or_loss_of_prime,symptom;cause_or_mechanism;inspection;maintenance,51.0
MP005:73,MP005,73,DESMI,bearing_or_lubrication_failure;mechanical_seal_failure;hydraulic_blockage,maintenance;symptom;cause_or_mechanism;inspection,51.0
MP007:16,MP007,16,DESMI,hydraulic_blockage;mechanical_seal_failure;cavitation;dry_running_or_maintenance_induced_failure;bearing_or_lubrication_failure,symptom;cause_or_mechanism;maintenance;inspection,51.0
MP007:20,MP007,20,DESMI,hydraulic_blockage;mechanical_seal_failure;cavitation;dry_running_or_maintenance_induced_failure,symptom;cause_or_mechanism;maintenance;inspection,51.0
MP015:30,MP015,30,SPX_FLOW__JOHNSON_PUMP,cavitation;impeller_or_wear_part_damage;hydraulic_blockage;mechanical_seal_failure;air_ingress_or_loss_of_prime;dry_running_or_maintenance_induced_failure,symptom;maintenance;inspection;cause_or_mechanism,51.0
MP005:61,MP005,61,DESMI,mechanical_seal_failure;cavitation;dry_running_or_maintenance_induced_failure;bearing_or_lubrication_failure;hydraulic_blockage;air_ingress_or_loss_of_prime;motor_electrical_drive_failure,symptom;cause_or_mechanism;maintenance;inspection,50.0
MP005:64,MP005,64,DESMI,mechanical_seal_failure;hydraulic_blockage;cavitation;bearing_or_lubrication_failure;dry_running_or_maintenance_induced_failure;air_ingress_or_loss_of_prime,symptom;cause_or_mechanism;maintenance;inspection,50.0
MP005:74,MP005,74,DESMI,hydraulic_blockage;bearing_or_lubrication_failure;mechanical_seal_failure,cause_or_mechanism;maintenance;inspection;symptom,50.0
MP007:15,MP007,15,DESMI,bearing_or_lubrication_failure;hydraulic_blockage;mechanical_seal_failure;cavitation;dry_running_or_maintenance_induced_failure,maintenance;symptom;cause_or_mechanism;inspection,50.0
MP007:21,MP007,21,DESMI,hydraulic_blockage,symptom;cause_or_mechanism;maintenance;inspection,50.0
MP015:29,MP015,29,SPX_FLOW__JOHNSON_PUMP,mechanical_seal_failure;dry_running_or_maintenance_induced_failure;impeller_or_wear_part_damage;hydraulic_blockage;air_ingress_or_loss_of_prime;cavitation,maintenance;symptom;inspection;cause_or_mechanism,50.0
MP015:101,MP015,101,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,maintenance;cause_or_mechanism,49.5
MP005:60,MP005,60,DESMI,hydraulic_blockage;cavitation;air_ingress_or_loss_of_prime;mechanical_seal_failure;dry_running_or_maintenance_induced_failure;bearing_or_lubrication_failure;motor_electrical_drive_failure,symptom;cause_or_mechanism;maintenance;inspection,49.0
MP005:62,MP005,62,DESMI,mechanical_seal_failure;hydraulic_blockage;dry_running_or_maintenance_induced_failure;cavitation;bearing_or_lubrication_failure;air_ingress_or_loss_of_prime,symptom;cause_or_mechanism;inspection;maintenance,49.0
MP005:63,MP005,63,DESMI,dry_running_or_maintenance_induced_failure;mechanical_seal_failure;bearing_or_lubrication_failure;cavitation;hydraulic_blockage;air_ingress_or_loss_of_prime,symptom;cause_or_mechanism;inspection;maintenance,49.0
MP005:75,MP005,75,DESMI,bearing_or_lubrication_failure;mechanical_seal_failure;hydraulic_blockage,maintenance;inspection;symptom;cause_or_mechanism,49.0
MP007:14,MP007,14,DESMI,mechanical_seal_failure;cavitation;hydraulic_blockage;dry_running_or_maintenance_induced_failure;bearing_or_lubrication_failure,symptom;cause_or_mechanism;maintenance;inspection,49.0
MP015:28,MP015,28,SPX_FLOW__JOHNSON_PUMP,dry_running_or_maintenance_induced_failure;cavitation;mechanical_seal_failure;impeller_or_wear_part_damage;hydraulic_blockage;air_ingress_or_loss_of_prime,maintenance;symptom;inspection;cause_or_mechanism,49.0
MP015:100,MP015,100,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;maintenance,48.5
MP015:102,MP015,102,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,maintenance;cause_or_mechanism,48.5
MP005:59,MP005,59,DESMI,mechanical_seal_failure;cavitation;hydraulic_blockage;air_ingress_or_loss_of_prime;dry_running_or_maintenance_induced_failure;bearing_or_lubrication_failure;motor_electrical_drive_failure,symptom;cause_or_mechanism;maintenance;inspection,48.0
MP005:76,MP005,76,DESMI,hydraulic_blockage;bearing_or_lubrication_failure;mechanical_seal_failure,cause_or_mechanism;maintenance;inspection;symptom,48.0
MP007:13,MP007,13,DESMI,mechanical_seal_failure;dry_running_or_maintenance_induced_failure;bearing_or_lubrication_failure;hydraulic_blockage;cavitation,inspection;maintenance;symptom;cause_or_mechanism,48.0
MP015:27,MP015,27,SPX_FLOW__JOHNSON_PUMP,mechanical_seal_failure;dry_running_or_maintenance_induced_failure;impeller_or_wear_part_damage;hydraulic_blockage;air_ingress_or_loss_of_prime;cavitation,maintenance;symptom;inspection;cause_or_mechanism,48.0
MP015:103,MP015,103,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,maintenance;cause_or_mechanism,47.5
MP015:99,MP015,99,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,maintenance;cause_or_mechanism,47.5
MP005:58,MP005,58,DESMI,motor_electrical_drive_failure;mechanical_seal_failure;cavitation;dry_running_or_maintenance_induced_failure;hydraulic_blockage;air_ingress_or_loss_of_prime;bearing_or_lubrication_failure,inspection;maintenance;cause_or_mechanism;symptom,47.0
MP005:77,MP005,77,DESMI,hydraulic_blockage;bearing_or_lubrication_failure;mechanical_seal_failure,cause_or_mechanism;maintenance;inspection;symptom,47.0
MP007:12,MP007,12,DESMI,mechanical_seal_failure;dry_running_or_maintenance_induced_failure;bearing_or_lubrication_failure;hydraulic_blockage;cavitation,inspection;maintenance;symptom;cause_or_mechanism,47.0
MP015:104,MP015,104,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,maintenance;cause_or_mechanism,46.5
MP015:98,MP015,98,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,maintenance;cause_or_mechanism,46.5
MP005:53,MP005,53,DESMI,dry_running_or_maintenance_induced_failure;motor_electrical_drive_failure;mechanical_seal_failure;bearing_or_lubrication_failure,symptom;cause_or_mechanism;inspection;maintenance,46.0
MP005:57,MP005,57,DESMI,motor_electrical_drive_failure;mechanical_seal_failure;dry_running_or_maintenance_induced_failure;hydraulic_blockage;cavitation;air_ingress_or_loss_of_prime;bearing_or_lubrication_failure,inspection;maintenance;symptom;cause_or_mechanism,46.0
MP015:25,MP015,25,SPX_FLOW__JOHNSON_PUMP,dry_running_or_maintenance_induced_failure;cavitation;mechanical_seal_failure;impeller_or_wear_part_damage;hydraulic_blockage;air_ingress_or_loss_of_prime,maintenance;symptom;inspection;cause_or_mechanism,46.0
MP015:97,MP015,97,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;maintenance,45.5
MP005:52,MP005,52,DESMI,dry_running_or_maintenance_induced_failure;motor_electrical_drive_failure;mechanical_seal_failure;bearing_or_lubrication_failure,cause_or_mechanism;maintenance;symptom;inspection,45.0
MP005:54,MP005,54,DESMI,mechanical_seal_failure;bearing_or_lubrication_failure;dry_running_or_maintenance_induced_failure;motor_electrical_drive_failure,maintenance;inspection;symptom;cause_or_mechanism,45.0
MP005:56,MP005,56,DESMI,dry_running_or_maintenance_induced_failure;motor_electrical_drive_failure;mechanical_seal_failure;cavitation;hydraulic_blockage;air_ingress_or_loss_of_prime;bearing_or_lubrication_failure,symptom;cause_or_mechanism;inspection;maintenance,45.0
MP018:17,MP018,17,PATTERSON_PUMP,bearing_or_lubrication_failure;impeller_or_wear_part_damage;mechanical_seal_failure;air_ingress_or_loss_of_prime,maintenance;symptom;cause_or_mechanism;inspection,45.0
MP001:76,MP001,76,ABS,bearing_or_lubrication_failure,cause_or_mechanism;symptom;inspection;maintenance,44.0379
MP005:51,MP005,51,DESMI,dry_running_or_maintenance_induced_failure;mechanical_seal_failure;bearing_or_lubrication_failure;motor_electrical_drive_failure;cavitation,cause_or_mechanism;maintenance;inspection;symptom,44.0
MP005:55,MP005,55,DESMI,motor_electrical_drive_failure;mechanical_seal_failure;dry_running_or_maintenance_induced_failure;cavitation;hydraulic_blockage;air_ingress_or_loss_of_prime;bearing_or_lubrication_failure,inspection;maintenance;symptom;cause_or_mechanism,44.0
MP015:18,MP015,18,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;mechanical_seal_failure,maintenance;cause_or_mechanism;symptom;inspection,44.0
MP018:16,MP018,16,PATTERSON_PUMP,bearing_or_lubrication_failure;impeller_or_wear_part_damage;air_ingress_or_loss_of_prime;mechanical_seal_failure,maintenance;symptom;cause_or_mechanism;inspection,44.0
MP018:18,MP018,18,PATTERSON_PUMP,bearing_or_lubrication_failure;mechanical_seal_failure;impeller_or_wear_part_damage;air_ingress_or_loss_of_prime,symptom;maintenance;cause_or_mechanism;inspection,44.0
MP021:17,MP021,17,IDEX__VIKING_PUMP,air_ingress_or_loss_of_prime;pipe_or_valve_integrity_failure;hydraulic_blockage;cavitation;bearing_or_lubrication_failure,symptom;cause_or_mechanism;inspection;maintenance,44.0
MP002:115,MP002,115,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,43.5
MP001:75,MP001,75,ABS,bearing_or_lubrication_failure,cause_or_mechanism;symptom;inspection;maintenance,43.0379
MP001:77,MP001,77,ABS,bearing_or_lubrication_failure,cause_or_mechanism;symptom;inspection;maintenance,43.0379
MP005:50,MP005,50,DESMI,dry_running_or_maintenance_induced_failure;cavitation;motor_electrical_drive_failure;mechanical_seal_failure;bearing_or_lubrication_failure,symptom;cause_or_mechanism;maintenance;inspection,43.0
MP015:17,MP015,17,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;mechanical_seal_failure,maintenance;cause_or_mechanism;symptom,43.0
MP015:19,MP015,19,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;mechanical_seal_failure,maintenance;cause_or_mechanism;symptom;inspection,43.0
MP018:15,MP018,15,PATTERSON_PUMP,bearing_or_lubrication_failure;air_ingress_or_loss_of_prime;mechanical_seal_failure;impeller_or_wear_part_damage,maintenance;symptom;cause_or_mechanism;inspection,43.0
MP018:19,MP018,19,PATTERSON_PUMP,impeller_or_wear_part_damage;bearing_or_lubrication_failure;mechanical_seal_failure;air_ingress_or_loss_of_prime,inspection;maintenance;symptom;cause_or_mechanism,43.0
MP021:16,MP021,16,IDEX__VIKING_PUMP,pipe_or_valve_integrity_failure;air_ingress_or_loss_of_prime;hydraulic_blockage;cavitation;bearing_or_lubrication_failure,symptom;inspection;maintenance;cause_or_mechanism,43.0
MP021:18,MP021,18,IDEX__VIKING_PUMP,bearing_or_lubrication_failure;air_ingress_or_loss_of_prime;pipe_or_valve_integrity_failure;hydraulic_blockage;cavitation,cause_or_mechanism;inspection;maintenance;symptom,43.0
MP002:114,MP002,114,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,42.5
MP002:116,MP002,116,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,42.5
MP001:74,MP001,74,ABS,bearing_or_lubrication_failure,cause_or_mechanism;symptom;inspection;maintenance,42.0379
MP001:78,MP001,78,ABS,bearing_or_lubrication_failure,cause_or_mechanism;symptom;inspection;maintenance,42.0379
MP005:49,MP005,49,DESMI,dry_running_or_maintenance_induced_failure;cavitation;motor_electrical_drive_failure;mechanical_seal_failure;bearing_or_lubrication_failure,cause_or_mechanism;maintenance;inspection;symptom,42.0
MP015:16,MP015,16,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;mechanical_seal_failure,maintenance;cause_or_mechanism;symptom,42.0
MP018:14,MP018,14,PATTERSON_PUMP,bearing_or_lubrication_failure;air_ingress_or_loss_of_prime;hydraulic_blockage;impeller_or_wear_part_damage;mechanical_seal_failure,maintenance;symptom;cause_or_mechanism;inspection,42.0
MP018:20,MP018,20,PATTERSON_PUMP,bearing_or_lubrication_failure;impeller_or_wear_part_damage;mechanical_seal_failure,maintenance;inspection;symptom;cause_or_mechanism,42.0
MP021:15,MP021,15,IDEX__VIKING_PUMP,hydraulic_blockage;air_ingress_or_loss_of_prime;pipe_or_valve_integrity_failure;cavitation;bearing_or_lubrication_failure;mechanical_seal_failure,cause_or_mechanism;maintenance;inspection;symptom,42.0
MP021:19,MP021,19,IDEX__VIKING_PUMP,air_ingress_or_loss_of_prime;pipe_or_valve_integrity_failure;hydraulic_blockage;cavitation;bearing_or_lubrication_failure,symptom;cause_or_mechanism;inspection;maintenance,42.0
MP002:113,MP002,113,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,41.5
MP002:117,MP002,117,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,41.5
MP001:73,MP001,73,ABS,bearing_or_lubrication_failure,cause_or_mechanism;symptom;inspection;maintenance,41.0379
MP001:79,MP001,79,ABS,bearing_or_lubrication_failure,cause_or_mechanism;symptom;inspection;maintenance,41.0379
MP004:11,MP004,11,DESMI,air_ingress_or_loss_of_prime;hydraulic_blockage;cavitation;pump_motor_misalignment;bearing_or_lubrication_failure;mechanical_seal_failure;impeller_or_wear_part_damage;dry_running_or_maintenance_induced_failure,symptom;cause_or_mechanism;maintenance;inspection,41.0
MP004:5,MP004,5,DESMI,impeller_or_wear_part_damage;bearing_or_lubrication_failure;air_ingress_or_loss_of_prime;hydraulic_blockage,symptom;cause_or_mechanism;inspection;maintenance,41.0
MP005:48,MP005,48,DESMI,cavitation;dry_running_or_maintenance_induced_failure,cause_or_mechanism;inspection;maintenance;symptom,41.0
MP015:15,MP015,15,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;mechanical_seal_failure,maintenance;cause_or_mechanism;symptom,41.0
MP015:21,MP015,21,SPX_FLOW__JOHNSON_PUMP,mechanical_seal_failure;impeller_or_wear_part_damage,maintenance;symptom;inspection;cause_or_mechanism,41.0
MP018:13,MP018,13,PATTERSON_PUMP,bearing_or_lubrication_failure;air_ingress_or_loss_of_prime;hydraulic_blockage;impeller_or_wear_part_damage;mechanical_seal_failure,inspection;maintenance;cause_or_mechanism;symptom,41.0
MP018:21,MP018,21,PATTERSON_PUMP,impeller_or_wear_part_damage;bearing_or_lubrication_failure;mechanical_seal_failure,inspection;maintenance;cause_or_mechanism;symptom,41.0
MP021:14,MP021,14,IDEX__VIKING_PUMP,air_ingress_or_loss_of_prime;pipe_or_valve_integrity_failure;hydraulic_blockage;cavitation;bearing_or_lubrication_failure;mechanical_seal_failure,symptom;cause_or_mechanism;inspection;maintenance,41.0
MP021:20,MP021,20,IDEX__VIKING_PUMP,air_ingress_or_loss_of_prime;pipe_or_valve_integrity_failure;hydraulic_blockage;cavitation;bearing_or_lubrication_failure,symptom;cause_or_mechanism;inspection;maintenance,41.0
MP002:112,MP002,112,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,40.5
MP002:118,MP002,118,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,40.5
MP004:10,MP004,10,DESMI,cavitation;dry_running_or_maintenance_induced_failure;air_ingress_or_loss_of_prime;hydraulic_blockage;pump_motor_misalignment;bearing_or_lubrication_failure;mechanical_seal_failure;impeller_or_wear_part_damage,inspection;maintenance;symptom;cause_or_mechanism,40.0
MP004:12,MP004,12,DESMI,cavitation;air_ingress_or_loss_of_prime;pump_motor_misalignment;hydraulic_blockage;bearing_or_lubrication_failure;mechanical_seal_failure;dry_running_or_maintenance_induced_failure;impeller_or_wear_part_damage,symptom;inspection;maintenance;cause_or_mechanism,40.0
MP004:4,MP004,4,DESMI,impeller_or_wear_part_damage,symptom;cause_or_mechanism,40.0
MP004:6,MP004,6,DESMI,impeller_or_wear_part_damage;bearing_or_lubrication_failure;air_ingress_or_loss_of_prime;hydraulic_blockage,symptom;cause_or_mechanism;inspection;maintenance,40.0
MP005:47,MP005,47,DESMI,cavitation;dry_running_or_maintenance_induced_failure,cause_or_mechanism;inspection;maintenance;symptom,40.0
MP015:22,MP015,22,SPX_FLOW__JOHNSON_PUMP,mechanical_seal_failure;impeller_or_wear_part_damage,maintenance;symptom;inspection;cause_or_mechanism,40.0
MP017:20,MP017,20,GORMAN_RUPP,bearing_or_lubrication_failure;pump_motor_misalignment;hydraulic_blockage;air_ingress_or_loss_of_prime,maintenance;symptom;cause_or_mechanism;inspection,40.0
MP018:12,MP018,12,PATTERSON_PUMP,bearing_or_lubrication_failure;air_ingress_or_loss_of_prime;hydraulic_blockage,maintenance;symptom;cause_or_mechanism;inspection,40.0
MP018:22,MP018,22,PATTERSON_PUMP,impeller_or_wear_part_damage;bearing_or_lubrication_failure,inspection;maintenance;cause_or_mechanism;symptom,40.0
MP018:24,MP018,24,PATTERSON_PUMP,impeller_or_wear_part_damage;pump_motor_misalignment;bearing_or_lubrication_failure;hydraulic_blockage;cavitation,inspection;maintenance;cause_or_mechanism;symptom,40.0
MP021:13,MP021,13,IDEX__VIKING_PUMP,pipe_or_valve_integrity_failure;air_ingress_or_loss_of_prime;hydraulic_blockage;cavitation;bearing_or_lubrication_failure;mechanical_seal_failure,symptom;inspection;maintenance;cause_or_mechanism,40.0
MP004:13,MP004,13,DESMI,bearing_or_lubrication_failure;hydraulic_blockage;mechanical_seal_failure;air_ingress_or_loss_of_prime;cavitation;pump_motor_misalignment;dry_running_or_maintenance_induced_failure;impeller_or_wear_part_damage,maintenance;inspection;symptom;cause_or_mechanism,39.0
MP004:7,MP004,7,DESMI,impeller_or_wear_part_damage;bearing_or_lubrication_failure;air_ingress_or_loss_of_prime;hydraulic_blockage;cavitation;dry_running_or_maintenance_induced_failure;pump_motor_misalignment;mechanical_seal_failure,symptom;cause_or_mechanism;inspection;maintenance,39.0
MP004:9,MP004,9,DESMI,air_ingress_or_loss_of_prime;hydraulic_blockage;cavitation;pump_motor_misalignment;impeller_or_wear_part_damage;bearing_or_lubrication_failure;dry_running_or_maintenance_induced_failure;mechanical_seal_failure,symptom;cause_or_mechanism;maintenance;inspection,39.0
MP005:46,MP005,46,DESMI,cavitation;dry_running_or_maintenance_induced_failure,cause_or_mechanism;inspection;maintenance;symptom,39.0
MP015:23,MP015,23,SPX_FLOW__JOHNSON_PUMP,mechanical_seal_failure;impeller_or_wear_part_damage,maintenance;symptom;inspection;cause_or_mechanism,39.0
MP017:19,MP017,19,GORMAN_RUPP,bearing_or_lubrication_failure;pump_motor_misalignment;hydraulic_blockage;air_ingress_or_loss_of_prime,maintenance;symptom;cause_or_mechanism;inspection,39.0
